id,DUNS Number,Company Name,Address,Contact,Phone
1,689964,Company 1 Ltd.,"1 Main St, City 1",Contact 1,802-912-5521
2,,Company 2 Ltd.,"2 Main St, City 2",Contact 2 Smith,746-235-3319
3,688009,Company 3 Limited,"3 Main St, City 3",Contact 3,274-816-4803
4,593685,Company 4 Ltd.,"4 Main St, City 4",Contact 4,909-546-6329
5,789361,Company 5 Limited,"5 Main Street, CT 5",Contact 5 Smith,135-823-1422
6,,Company 6 Ltd.,"6 Main Street, CT 6",Contact 6 Smith,523-411-9853
7,484625,Company 7,"7 Main St, City 7",Contact 7 Smith,811-759-9679
8,,Company 8,"8 Main Street, CT 8",Contact 8,337-697-8501
9,891887,Company 9,"9 Main Street, CT 9",Contact 9 Smith,694-855-1328
10,,Company 10,"10 Main St, City 10",Contact 10,330-977-3242
11,,Company 11,"11 Main Street, CT 11",Contact 11,241-850-6862
12,221883,Company 12 Limited,"12 Main St, City 12",Contact 12 Smith,192-918-8664
13,,Company 13,"13 Main Street, CT 13",Contact 13 Smith,325-718-1224
14,,Company 14,"14 Main Street, CT 14",Contact 14,519-875-5056
15,752153,Company 15 Ltd.,"15 Main Street, CT 15",Contact 15 Smith,234-590-1950
16,931711,Company 16,"16 Main St, City 16",Contact 16 Smith,904-682-1949
17,,Company 17 Limited,"17 Main Street, CT 17",Contact 17,602-621-6078
18,537888,Company 18 Ltd.,"18 Main Street, CT 18",Contact 18 Smith,610-763-9875
19,,Company 19 Ltd.,"19 Main Street, CT 19",Contact 19 Smith,414-439-9751
20,,Company 20 Limited,"20 Main St, City 20",Contact 20,433-372-9129
21,,Company 21,"21 Main Street, CT 21",Contact 21 Smith,618-763-4162
22,202870,Company 22 Ltd.,"22 Main Street, CT 22",Contact 22,272-525-2759
23,,Company 23 Limited,"23 Main Street, CT 23",Contact 23,545-503-1558
24,272877,Company 24 Limited,"24 Main St, City 24",Contact 24,970-106-3229
25,658388,Company 25 Ltd.,"25 Main St, City 25",Contact 25,595-512-9531
26,892757,Company 26 Limited,"26 Main St, City 26",Contact 26 Smith,906-636-8138
27,,Company 27,"27 Main Street, CT 27",Contact 27,447-489-4119
28,,Company 28,"28 Main Street, CT 28",Contact 28 Smith,116-647-1329
29,611776,Company 29 Limited,"29 Main St, City 29",Contact 29,168-325-2427
30,661368,Company 30 Ltd.,"30 Main St, City 30",Contact 30 Smith,312-639-1759
31,,Company 31 Limited,"31 Main St, City 31",Contact 31,860-613-2106
32,,Company 32 Limited,"32 Main St, City 32",Contact 32,714-965-6650
33,,Company 33 Ltd.,"33 Main Street, CT 33",Contact 33 Smith,380-515-6949
34,,Company 34 Limited,"34 Main St, City 34",Contact 34 Smith,700-776-8948
35,,Company 35 Ltd.,"35 Main St, City 35",Contact 35,285-875-7979
