id,DUNS Number,Company Name,Address,Contact,Phone
58,313527,Company 58,"58 Main St, City 58, FL 80590",,
25,405102,Co. 25,25 Main Avenue,Contact 25 Williams,849-271-2020
10,556525,Co 10,"10 Main Street, City 10",,275-957-4206
34,160997,Corporotion 34,34 Main Avenue,,322-918-6161
23,870783,Company 23,"23 Main Ave, City 23, FL 54832",Contact 23 Brown,931-529-5626
55,,Co. 1,,Contact 55 Jones,554-373-6458
84,,Co 21,,Contact 84 Jones,886-197-2314
27,566388,Company 27,,Contact 27 Johnson,723-338-7009
46,296720,Company 46,46 Main Avenue,Contact 46,990-175-9500
21,581244,Co 21,,Contact 21 Jones,254-389-7221
6,466264,Co 6,"6 Main St, NY 51000",Contact 6 Williams,170-127-2797
31,979053,Company 31,,,
96,556525,Compony 96,,Contact 96 Brown,998-583-1498
5,986252,Co. 5,,Contact 5 Johnson,238-956-1140
22,,Company 22,"22 Main Street, City 22",Contact 22 Willeams,530-677-6986
17,834267,Co. 17,"17 Main St, NY 92494",Contact 17,875-838-4765
39,313527,Co 39,39 Main St.,Contact 39,366-605-7655
14,543513,Company 14,,,813-926-2692
16,775159,Corp. 16,"16 Main Street, City 16",Contact 16 Williams,459-627-4886
95,147179,Corp. 95,"95 Main Avenue, City 95",,792-387-8993
37,336835,Co. 37,,Contact 37,264-915-8379
75,120619,Carporeteun 19,"75 Main Avenue, City 75",Contact 75,876-439-8326
54,312474,Corp 54,54 Main St,Contact 54,827-224-1669
68,109938,Corp. 29,,Contact 68 Jones,
73,,Company 45,"73 Main St., City 73",Contact 73 Smith,613-948-3164
53,736784,Company 20,"53 Main Ave, TX 14306",Contact 53,248-776-7469
43,564917,Company 43,"43 Main Avenue, City 43",Cuntoct 43,505-700-3110
76,137349,Corporation 42,,,704-886-5026
38,697667,Corp. 38,,Contact 38,578-528-8536
56,406871,Co 56,"56 Main Ave, City 56",,678-730-7598
93,336835,Corp. 93,"93 Main Street, City 93, NY 78037",Contact 93,659-741-1185
3,176647,Corporateun 3,"3 Main St., City 3",Contact 3,168-264-7021
41,731279,Corp. 41,,Contact 41,828-859-1662
