alternative_name,description,id,name,name_de,original_name,pid,source
railway_alternative,,9,Railway,Eisenbahn,,,
,,3,Aerospace,Luft- und Raumfahrt,,,
,,4503,NewNode,blahblahblanb,,,
xyxzyx,asdfadf,1,xxx,,,,
,gs,2,sadfasgs,,,,
,,4499,TesingNode,,,,mySource
,,4500,testerer,,,4499,
,,4502,testerer123,,,4499,
,,10,Automotive,Automobilindustrie,,,
,,212,Third Party Services (3PS),Dienstleistungen,,10,
,,213,Quality Services,Qualität,,212,
,,214,Engineering Services,Entwicklungsleistungen,,212,
,,215,Transportation,Transport,,212,
,,216,Logistic Services,,,215,
,,217,Packaging,Verpackung,,215,
,,218,VCI (Volatile Corrosion Inhibitor),VCI,,217,
,,219,VCI Films,VCI-Folien,,218,
,,220,Bentonite,Betonit,,218,
,,221,Cardboard,Karton,,218,
,,222,Dry Bags,Trockenbeutel,,218,
,,223,Long-term Corrosion Protection,Langzeit KORRUSIONSSCHUTZ,,218,
,,224,Silica Gel,Silika Gel,,218,
,,225,VCI Bags,VCI-Säcke,,218,
,,226,VCI Capsules,VCI-Kapseln,,218,
,,227,VCI Foam,VCI-Schaum,,218,
,,228,VCI on Recycled,VCI auf Rezyklat,,218,
,,229,VCI Paper,VCI-Papier,,218,
,,230,with PE Coating,mit PE-Beschichtung,,218,
,,231,VCI on Bio-based KS,VCI auf Biobasiert KS,,218,
,,232,Wood,Holz,,217,
,,233,Wood Inserts,Holz Aufnahmen,,232,
,,234,Crates,Verschläge,,232,
,,235,Lumber,Schnittholz,,232,
,,236,Pallets,Paletten,,232,
,,237,Plywood Panels,Sperrholzplatten,,232,
,,238,Plastic,Kunststoff,,217,
,,239,Spring Clips,Federstecker,,238,
,,240,Adhesive Tapes,Klebebänder,,238,
,,241,Closure Plugs,Verschlussstopfen,,238,
,,242,Cushioning Material/Foam,Polstermaterial/Schaum,,238,
,,243,EPP Foam,EPP-Schaum,,238,
,,244,ESD Foam,ESD-Schaum,,238,
,,245,ESD Bags,ESD-Beutel,,238,
,,246,ESD Tray,ESD-Tray,,238,
,,247,ESD,ESD,,238,
,,248,Films,Folien,,238,
,,249,PE (Polyethylene),PE (Polyethylene),,238,
,,250,Air Cushion,Luftpolster,,238,
,,252,"""Plastic Straps, Corner Protectors, Mailing Bags""","""Kunststoffbänder, Schutzecken, Versandtaschen""",,238,
,,253,Combination Packaging (Paper/Wood/Plastic),Kombinationsverpackung (WP/KS/Holz),,238,
,,254,Container Dunnage Bags,Container-Stausäcke,,238,
,,255,Container Seals,Containerplomben,,238,
,,256,EPP Thermoformed,EPP Tiefzieform,,238,
,,257,PP (Polypropylene),PP (Polypropylene),,238,
,,258,PP Spunbond,PP Spinnvlies,,238,
,,259,PE Foam,PE-Schaum,,238,
,,260,35kg/m³,,,259,
,,261,65kg/m³,,,259,
,,262,Spray Adhesive,Sprühkleber,,238,
,,263,Strapping Bands,Umreifungsbänder,,238,
,,264,Basis Weight,Flächengewicht,,238,
,,265,40g/m²,40g/m²,,264,
,,266,70g/m²,70g/m²,,264,
,,267,Corrugated Cardboard,Wellpappe,,217,
,,268,Cellulose Padding,Zellulose Polster,,267,
,,269,Fibre Mold,Faserform,,267,
,,270,Kraftliner Substitute Papers,Kraftliner-Ersatzpapiere,,267,
,,271,Pre-assembly,Vorkonfektionierung,,267,
,,272,Single Wall,,,267,
,,273,"""Tubes, Corners, Edge Protectors""","""Hülsen, Ecken, Kantenschutz, etc.""",,267,
,,274,Solid Board/Cardboard,,,267,
,,275,Combination Packaging (Paper/Wood/Plastic),Kombinationsverpackung (WP/KS/Holz),,267,
,,276,Self-adhesive Automatic Carton,Selbstklebender Automatikkarton,,267,
,,277,Light-duty Corrugated Board,,,267,
,,278,Hazardous Material Packaging,,,267,
,,279,Heavy-duty Corrugated Board,,,267,
,,280,Honeycomb,,,267,
,,281,Membrane Packaging,,,267,
,,282,Multiwall,,,267,
,,3864,Differential Case,Differentialgehäuse,,282,
,,3865,Differential Drive Pinion Gear,Differentialantrieb-Ritzelzahnrad,,282,
,,3866,Differential Pinion Gear,Differenzialritzelzahnrad,,282,
,,3968,Other Differential Parts,Sonstige Differenzialteile,,282,
,,27,Product Offering,Produktangebot,,10,
,,28,Prototype,Prototyp,,27,
,,29,Additive Manufacturing (3D Printing),3D-Druck,,28,
,,30,Other,Sonstige,,29,
,,31,Binder Jetting (Other- Sand),Binder-Jetting-Verfahren (Sand) / Freistrahl-Bindemittelauftrag,,30,
,,32,3D Sand Printing,3D-Sanddruck,,31,
,,38,Formative Manufacturing,Prägende Fertigung,,28,
,,39,Stamping (Formative Manufacturing),Stanzen - Feinschneiden,,38,
,,40,Fine Blanking (Formative Manufacturing),Feinschneiden/Feinstanzen (Formative Fertigung),,39,
,,41,Tailored Blank (Formative Manufacturing),Tailored Blank (Formative Fertigung),,39,
,,42,Waterjet Cutting,Wasserstrahlschneiden,,38,
,,43,Injection Molding (Formative Manufacturing),Spritzgießen,,38,
,,44,Clean Room Injection Molding,Reinraum-Spritzgießen,,43,
,,45,Rotational Injection Molding,Rotations-Spritzgießen,,43,
,,46,Reaction Injection Molding (RIM),Reaktionsspritzgießen (RIM),,43,
,,47,Bi-Injection and Co-Injection Molding,Bi-Spritzgießen und Ko-Spritzgießen,,43,
,,48,Liquid Silicone Rubber Injection Molding (LSR),Flüssigsilikon-Spritzgießen (LSR),,43,
,,49,Two-Shot (Multi-Shot) Injection Molding,Zweikomponenten-Spritzgießen (Mehrkomponenten-Spritzgießen),,43,
,,52,Structural Foam Injection Molding,Strukturschaum-Spritzgießen,,43,
,,54,Cold Runner Injection Molding,Kaltkanal-Spritzgießen,,43,
,,3961,Other Airbag Parts,Weitere Airbag-Bauteile,,54,
,,55,Compression Injection Molding,Kompressionsspritzgießen,,43,
,,56,Foam Injection Molding,Schaumspritzgießen,,43,
,,57,Gas-Assisted Injection Molding,Gasunterstütztes Spritzgießen,,43,
,,58,Hot Runner Injection Molding,Heißkanal-Spritzgießen,,43,
,,59,In-Mold Labeling and Decoration (IML/IMD),In-Mold-Beschriftung und -Dekoration (IML/IMD),,43,
,,60,Insert Molding,Einlege-Spritzgießen,,43,
,,75,Quality,Qualität,,27,
,,283,Machinery,Maschinen,,10,
,,284,Testing Equipment,,,283,
,,285,Forging Equipment,,,283,
,,286,Injection Molding Machines,,,283,
,,287,Inspection Systems,,,283,
,,288,Robots,,,283,
,,289,Assembly Robots,,,288,
,,290,Painting Robots,,,288,
,,291,Welding Robots,,,288,
,,292,Stamping Presses,,,283,
,,293,Casting Equipment,,,283,
,,294,3D Printers,,,283,
,,295,By Technology,,,294,
,,296,SLS,,,295,
,,297,SLA,,,295,
,,298,FDM,,,295,
,,299,By Material,,,294,
,,300,Metal,,,299,
,,301,Thermoplastic,,,299,
,,302,Ceramic,,,299,
,,303,CNC Machines,,,283,
,,304,5-Axis,,,303,
,,305,3-Axis,,,303,
,,306,SB Commodity,Werkstoffgruppe,,10,
,,1337,Raw Materials,Rohmaterialien,,306,
,,1338,Battery Raw Materials,Batterierohstoffe,,1337,
,,1339,Cobalt,Kobalt,,1338,
,,1341,Lithium,,,1338,
,,1342,Nickel,Nickel,,1338,
,,1343,Conflict Minerals (3TG),Konfliktmineralien,,1337,
,,1344,Gold,Gold,,1343,
,,1345,Tantalum,Tantal,,1343,
,,1347,Tungsten,Wolfram,,1343,
,,1348,Other Materials,,,1337,
,,1349,Leather,,,1348,
,,1350,Chemicals,Chemikalien,,1348,
,,1351,Copper,Kupfer,,1348,
,,1352,Mica,,,1348,
